Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
20000,548,328,69,42,9999,0,1500,0,3890,7500,3,2,1651,456,2000,1,0,1,72,72,52,0,144,0,0,0,2192,2288,3766,1871,0,23,33,47,35,10,5,23,0,0,41,0,0,11511,501,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
21000,548,328,69,42,9999,0,1500,0,3890,7500,3,2,1651,456,2000,1,0,1,71,72,47,0,124,0,0,0,2192,2288,3923,1912,0,19,36,40,39,5,18,19,0,0,44,0,0,11511,501,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
22000,548,328,69,42,9999,0,1500,0,3890,7500,3,2,1651,456,2000,1,0,1,72,72,32,0,0,0,0,0,2192,2288,3929,2118,0,42,69,63,66,34,30,42,0,0,47,0,0,11511,501,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
23000,548,328,69,42,9999,0,1500,0,3890,7500,4,3,2361,545,2000,1,0,1,73,72,33,0,4,1,0,0,2192,2288,3799,2600,0,47,63,63,57,26,40,47,0,0,48,0,0,11511,501,0,212,0,212,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
24001,548,328,69,42,9999,0,1500,0,3890,7500,4,3,1920,545,2000,1,0,1,72,72,33,0,5,2,0,0,2192,2288,4291,2703,0,47,57,61,57,10,14,47,0,0,53,0,0,11511,501,0,212,0,212,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
25006,548,328,69,42,9999,0,1500,0,3800,7500,4,3,1920,545,2000,1,0,1,72,72,32,0,0,0,0,0,2192,2288,4198,2693,0,28,52,47,63,19,28,25,0,0,52,0,0,11511,501,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
26001,548,328,69,42,9999,0,1500,0,3800,7500,3,2,2361,545,2000,1,0,1,72,72,32,0,0,0,0,0,2192,2288,4991,2226,0,33,57,52,47,14,14,33,0,0,52,0,0,11511,501,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
27001,548,328,69,42,9999,0,1500,0,3800,7500,3,2,1651,456,2000,1,0,1,72,72,33,0,6,2,0,0,2192,2288,4866,2250,0,26,63,61,60,21,10,26,0,0,55,0,0,11511,501,0,212,0,212,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
28001,548,328,69,42,9999,0,1500,0,3800,7500,3,2,1651,456,2000,1,0,1,72,72,34,0,0,0,0,0,2192,2288,2936,2155,0,25,55,52,50,10,14,25,0,0,39,0,0,11511,501,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
29001,548,328,69,42,9999,0,1500,0,3800,7500,3,2,1651,456,2000,1,0,1,72,72,28,0,0,0,0,0,2192,2288,1726,2122,0,25,44,55,42,9,21,25,0,0,29,0,0,11511,501,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
